sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
550;BME280;20066;48.764;9.176;2023-03-24T02:45:34;97176.84;;;16.18;49.46
550;BME280;20066;48.764;9.176;2023-03-24T02:48:18;97155.75;;;15.69;50.33
550;BME280;20066;48.764;9.176;2023-03-24T02:50:50;97168.75;;;16.27;48.54
550;BME280;20066;48.764;9.176;2023-03-24T02:53:24;97148.69;;;15.72;50.21
550;BME280;20066;48.764;9.176;2023-03-24T02:56:00;97156.41;;;16.04;49.35
550;BME280;20066;48.764;9.176;2023-03-24T02:58:38;97148.78;;;16.52;48.40
550;BME280;20066;48.764;9.176;2023-03-24T03:01:11;97157.50;;;16.38;48.80
550;BME280;20066;48.764;9.176;2023-03-24T03:03:44;97134.75;;;16.44;48.50
550;BME280;20066;48.764;9.176;2023-03-24T03:06:18;97135.28;;;16.21;48.90
550;BME280;20066;48.764;9.176;2023-03-24T03:08:49;97144.50;;;16.33;48.63
550;BME280;20066;48.764;9.176;2023-03-24T03:11:19;97140.81;;;16.57;47.65
550;BME280;20066;48.764;9.176;2023-03-24T03:13:49;97132.09;;;16.72;47.48
550;BME280;20066;48.764;9.176;2023-03-24T03:16:21;97129.16;;;16.48;48.33
550;BME280;20066;48.764;9.176;2023-03-24T03:18:54;97129.56;;;16.95;46.94
550;BME280;20066;48.764;9.176;2023-03-24T03:21:25;97133.53;;;17.22;46.81
550;BME280;20066;48.764;9.176;2023-03-24T03:24:02;97134.41;;;17.37;46.24
550;BME280;20066;48.764;9.176;2023-03-24T03:26:34;97128.41;;;17.15;47.13
550;BME280;20066;48.764;9.176;2023-03-24T03:29:05;97128.19;;;16.24;48.92
550;BME280;20066;48.764;9.176;2023-03-24T03:31:39;97121.50;;;16.15;48.85
550;BME280;20066;48.764;9.176;2023-03-24T03:34:16;97118.84;;;15.94;49.62
550;BME280;20066;48.764;9.176;2023-03-24T03:36:49;97129.91;;;16.08;49.30
550;BME280;20066;48.764;9.176;2023-03-24T03:39:24;97118.41;;;15.95;49.51
550;BME280;20066;48.764;9.176;2023-03-24T03:41:58;97125.56;;;16.51;48.25
550;BME280;20066;48.764;9.176;2023-03-24T03:44:26;97124.31;;;16.34;48.58
550;BME280;20066;48.764;9.176;2023-03-24T03:46:54;97135.41;;;16.17;48.98
550;BME280;20066;48.764;9.176;2023-03-24T03:49:22;97133.91;;;15.95;49.61
550;BME280;20066;48.764;9.176;2023-03-24T03:51:51;97122.47;;;16.22;49.07
550;BME280;20066;48.764;9.176;2023-03-24T03:54:20;97125.69;;;16.47;47.99
550;BME280;20066;48.764;9.176;2023-03-24T03:56:49;97130.34;;;16.38;48.71
550;BME280;20066;48.764;9.176;2023-03-24T03:59:27;97123.97;;;16.01;49.33
550;BME280;20066;48.764;9.176;2023-03-24T04:01:55;97134.06;;;16.80;47.48
550;BME280;20066;48.764;9.176;2023-03-24T04:04:36;97135.59;;;16.32;48.70
550;BME280;20066;48.764;9.176;2023-03-24T04:07:19;97125.66;;;15.98;49.58
550;BME280;20066;48.764;9.176;2023-03-24T04:09:57;97134.19;;;16.18;48.89
550;BME280;20066;48.764;9.176;2023-03-24T04:12:45;97130.72;;;15.87;49.54
550;BME280;20066;48.764;9.176;2023-03-24T04:15:35;97134.28;;;16.06;48.86
550;BME280;20066;48.764;9.176;2023-03-24T04:18:25;97137.94;;;16.52;48.03
550;BME280;20066;48.764;9.176;2023-03-24T04:21:08;97135.66;;;16.50;48.02
550;BME280;20066;48.764;9.176;2023-03-24T04:23:44;97142.22;;;16.00;49.29
550;BME280;20066;48.764;9.176;2023-03-24T04:26:18;97136.22;;;15.74;49.74
550;BME280;20066;48.764;9.176;2023-03-24T04:28:58;97117.72;;;15.82;49.57
550;BME280;20066;48.764;9.176;2023-03-24T04:31:34;97098.06;;;15.69;49.48
550;BME280;20066;48.764;9.176;2023-03-24T04:34:09;97106.22;;;16.00;49.01
550;BME280;20066;48.764;9.176;2023-03-24T04:36:43;97110.91;;;16.08;48.84
550;BME280;20066;48.764;9.176;2023-03-24T04:39:19;97101.38;;;16.35;48.25
550;BME280;20066;48.764;9.176;2023-03-24T04:41:55;97108.09;;;16.79;46.85
